年月,int_rate,salary,population
9901,2.788,524234,23140948
9902,2.788,524234,23140948
9903,2.788,524234,23140948
9904,2.788,524234,23140948
9905,2.788,524234,23140948
9906,2.788,524234,23140948
9907,2.905,524234,23140948
9908,2.905,524234,23140948
9909,2.905,524234,23140948
9910,2.996,524234,23140948
9911,2.996,524234,23140948
9912,2.996,524234,23140948
10001,3.052,527186,23193518
10002,3.052,527186,23193518
10003,3.052,527186,23193518
10004,3.141,527186,23193518
10005,3.141,527186,23193518
10006,3.141,527186,23193518
10007,3.219,527186,23193518
10008,3.219,527186,23193518
10009,3.219,527186,23193518
10010,3.219,527186,23193518
10011,3.219,527186,23193518
10012,3.219,527186,23193518
10101,3.219,537021,23270367
10102,3.219,537021,23270367
10103,3.219,537021,23270367
10104,3.219,537021,23270367
10105,3.219,537021,23270367
10106,3.219,537021,23270367
10107,3.219,537021,23270367
10108,3.219,537021,23270367
10109,3.219,537021,23270367
10110,3.219,537021,23270367
10111,3.219,537021,23270367
10112,3.219,537021,23270367
10201,3.219,565198,23344670
10202,3.219,565198,23344670
10203,3.219,565198,23344670
10204,3.219,565198,23344670
10205,3.219,565198,23344670
10206,3.219,565198,23344670
10207,3.219,565198,23344670
10208,3.219,565198,23344670
10209,3.219,565198,23344670
10210,3.219,565198,23344670
10211,3.219,565198,23344670
10212,3.219,565198,23344670
10301,3.219,607264,23403635
10302,3.219,607264,23403635
10303,3.219,607264,23403635
10304,3.219,607264,23403635
10305,3.219,607264,23403635
10306,3.219,607264,23403635
10307,3.219,607264,23403635
10308,3.219,607264,23403635
10309,3.219,607264,23403635
10310,3.219,607264,23403635
10311,3.219,607264,23403635
10312,3.219,607264,23403635
10401,3.219,633367,23462914
10402,3.219,633367,23462914
10403,3.219,633367,23462914
10404,3.219,633367,23462914
10405,3.219,633367,23462914
10406,3.219,633367,23462914
10407,3.219,633367,23462914
10408,3.219,633367,23462914
10409,3.219,633367,23462914
10410,3.142,633367,23462914
10411,3.142,633367,23462914
10412,3.142,633367,23462914
10501,3.057,650854,23515945
10502,3.057,650854,23515945
10503,3.057,650854,23515945
10504,2.974,650854,23515945
10505,2.974,650854,23515945
10506,2.974,650854,23515945
10507,2.889,650854,23515945
10508,2.889,650854,23515945
10509,2.889,650854,23515945
10510,2.889,650854,23515945
10511,2.889,650854,23515945
10512,2.889,650854,23515945
10601,2.889,667945,23555522
10602,2.889,667945,23555522
10603,2.889,667945,23555522
10604,2.889,667945,23555522
10605,2.889,667945,23555522
10606,2.889,667945,23555522
10607,2.889,667945,23555522
10608,2.889,667945,23555522
10609,2.889,667945,23555522
10610,2.889,667945,23555522
10611,2.889,667945,23555522
10612,2.889,667945,23555522
10701,2.889,677201,23580080
10702,2.889,677201,23580080
10703,2.889,677201,23580080
10704,2.889,677201,23580080
10705,2.889,677201,23580080
10706,2.889,677201,23580080
10707,2.889,677201,23580080
10708,2.889,677201,23580080
10709,2.889,677201,23580080
10710,2.889,677201,23580080
10711,2.889,677201,23580080
10712,2.889,677201,23580080
10801,2.889,691579,23596027
10802,2.889,691579,23596027
10803,2.889,691579,23596027
10804,2.889,691579,23596027
10805,2.889,691579,23596027
10806,2.889,691579,23596027
10807,2.889,691579,23596027
10808,2.889,691579,23596027
10809,2.889,691579,23596027
10810,2.889,691579,23596027
10811,2.889,691579,23596027
10812,2.889,691579,23596027
10901,2.889,722873,23582179
10902,2.889,722873,23582179
10903,2.889,722873,23582179
10904,2.616,722873,23582179
10905,2.616,722873,23582179
10906,2.616,722873,23582179
10907,2.616,722873,23582179
10908,2.616,722873,23582179
10909,2.616,722873,23582179
10910,2.616,722873,23582179
10911,2.616,722873,23582179
10912,2.616,722873,23582179
